level,name,sub_code,sub_label,class_range,nipun_strand,is_review,num_images,image_search_queries,question_gen_prompt
1,Quantity Comparison,1.0,Mastery,1,Number Sense,False,18,black white clipart equal unequal groups matching; bw clipart match equal quantities worksheet; black white clipart match equal groups objects; bw clipart equal not equal groups comparison; black white clipart matching equal sets; bw clipart circle group with more objects; black white clipart which group has more less; black white clipart more less same worksheet; bw clipart groups equal comparison matching; bw clipart compare two groups objects,"Match equal groups visually. Circle the group with more/less. Child cannot count yet — use obvious visual size differences between groups (e.g. 2 vs 5 apples, 1 vs 4 stars). No numerals. Matching format only."
1,Quantity Comparison,1.1,Easier_Remediation,1,Number Sense,False,14,black white clipart equal unequal groups matching easy; bw clipart match equal quantities worksheet easy; black white clipart match equal groups objects easy; bw clipart equal not equal groups comparison easy; black white clipart matching equal sets easy; bw clipart circle group with more objects easy; black white clipart which group has more less easy; black white clipart more less same worksheet easy; bw clipart groups equal comparison matching easy; bw clipart compare two groups objects easy,"SIMPLER VERSION — Match equal groups visually. Circle the group with more/less. Child cannot count yet — use obvious visual size differences between groups (e.g. 2 vs 5 apples, 1 vs 4 stars). No numerals. Matching format only."
1,Quantity Comparison,1.2,Further_Remediation,1,Number Sense,False,14,black white clipart equal unequal groups matching beginner; bw clipart match equal quantities worksheet beginner; black white clipart match equal groups objects beginner; bw clipart equal not equal groups comparison beginner; black white clipart matching equal sets beginner; bw clipart circle group with more objects beginner; black white clipart which group has more less beginner; black white clipart more less same worksheet beginner; bw clipart groups equal comparison matching beginner; bw clipart compare two groups objects beginner,"SIMPLEST VERSION — Max scaffolding, minimal items. Match equal groups visually. Circle the group with more/less. Child cannot count yet — use obvious visual size differences between groups (e.g. 2 vs 5 apples, 1 vs 4 stars). No numerals. Matching format only."
2,Odd One Out,2.0,Mastery,1,Classification,False,17,odd one out worksheet black white; which one is different worksheet; classification worksheet kindergarten; same different objects worksheet; odd one out shapes bw; find the odd one worksheet bw; difference recognition worksheet; group classification worksheet; odd one out for kids bw; what doesn't belong worksheet,"Find the object that does not belong. Differences based on shape, size, or type — NOT color (color-based items to be removed). 3-4 items per group."
2,Odd One Out,2.1,Easier_Remediation,1,Classification,False,11,odd one out worksheet black white easy; which one is different worksheet easy; classification worksheet kindergarten easy; same different objects worksheet easy; odd one out shapes easy bw; find the odd one worksheet easy bw; difference recognition worksheet easy; group classification worksheet easy; odd one out for kids easy bw; what doesn't belong worksheet easy,"SIMPLER VERSION — Find the object that does not belong. Differences based on shape, size, or type — NOT color (color-based items to be removed). 3-4 items per group."
2,Odd One Out,2.2,Further_Remediation,1,Classification,False,12,odd one out worksheet black white beginner; which one is different worksheet beginner; classification worksheet kindergarten beginner; same different objects worksheet beginner; odd one out shapes beginner bw; find the odd one worksheet beginner bw; difference recognition worksheet beginner; group classification worksheet beginner; odd one out for kids beginner bw; what doesn't belong worksheet beginner,"SIMPLEST VERSION — Max scaffolding, minimal items. Find the object that does not belong. Differences based on shape, size, or type — NOT color (color-based items to be removed). 3-4 items per group."
3,Matching + Tracing Lines,3.0,Mastery,1,Pre-Writing,False,70,matching lines worksheet bw; tracing lines worksheet bw; match same objects worksheet; draw lines to match worksheet; matching activity worksheet bw; preschool matching worksheet bw; line matching objects bw; connect matching pairs worksheet; simple matching worksheet bw; tracing practice worksheet bw,Draw lines to match identical objects. Trace dotted lines to connect pairs. Pre-writing skill development — fine motor control.
3,Matching + Tracing Lines,3.1,Easier_Remediation,1,Pre-Writing,False,15,matching lines worksheet easy bw; tracing lines worksheet easy bw; match same objects worksheet easy; draw lines to match worksheet easy; matching activity worksheet easy bw; preschool matching worksheet easy bw; line matching objects easy bw; connect matching pairs worksheet easy; simple matching worksheet easy bw; tracing practice worksheet easy bw,SIMPLER VERSION — Draw lines to match identical objects. Trace dotted lines to connect pairs. Pre-writing skill development — fine motor control.
3,Matching + Tracing Lines,3.2,Further_Remediation,1,Pre-Writing,False,19,matching lines worksheet beginner bw; tracing lines worksheet beginner bw; match same objects worksheet beginner; draw lines to match worksheet beginner; matching activity worksheet beginner bw; preschool matching worksheet beginner bw; line matching objects beginner bw; connect matching pairs worksheet beginner; simple matching worksheet beginner bw; tracing practice worksheet beginner bw,"SIMPLEST VERSION — Max scaffolding, minimal items. Draw lines to match identical objects. Trace dotted lines to connect pairs. Pre-writing skill development — fine motor control."
4,Numbers 1-10,4.0,Mastery,1,Number Sense,False,18,numbers 1-10 worksheet bw; counting 1-10 worksheet bw; number recognition 1-10 bw; count and write 1-10 bw; number matching 1-10 bw; count objects 1-10 bw; number tracing 1-10 bw; preschool numbers 1-10 bw; number identification 1-10 bw; count and circle 1-10 bw,Recognise and count numbers 1-10. Match numeral to quantity of objects. Count objects and circle/write correct number. Mastery: count to 10. Easier: count 1-5. Further: trace numerals 1-5.
